Clé;Contexte;EN;FR
recos.salome.quote;Citation Salomé M.;"Martin played a central role in scaling AVENIR — Société Générale Retail Banking's Design System. His Figma library architecture, his support of designers and developers, and his ability to set and apply a clear short and long-term vision make him a very complete Design System Manager.";"Martin a eu un rôle central dans le passage à l'échelle du Design System AVENIR de la Banque de Détails de la Société Générale. Son expertise sur l'architecture Figma, son accompagnement des Product Designers et développeurs, et sa capacité à appliquer une vision claire à court et long terme en font un Design System Manager très complet."
recos.ivan.quote;Citation Ivan T.;"Martin was essential to setting up the Design System at Société Générale. His Figma expertise let us roll out design tokens across every multi-theme component. The slot pattern he set up to automate responsive rendering massively improved designer throughput.";"Martin a eu un rôle essentiel dans la mise en place du Design System à la Société Générale. Son expertise Figma nous a permis de déployer les design tokens sur l'ensemble des composants multi-thèmes. La mise en place de slots pour automatiser le rendu responsive a grandement facilité la production des designers."
recos.justine.quote;Citation Justine L.;"It's thanks to Martin's relentless work that we shipped one of the most structuring DS projects: the token matrix. Today, we've gained tremendous speed and flexibility in how we design components. Beyond the system work, Martin was always there to help and train Product Designers.";"C'est grâce au travail acharné de Martin que nous avons pu lancer l'un des projets les plus structurants du DS : la matrice de tokens. On y a énormément gagné en rapidité et en flexibilité sur la conception des composants. Au-delà du système, Martin a toujours été présent pour aider et former les Product Designers."
recos.marta.quote;Citation Marta M.;"Martin has a 360° view of design system rules, with exemplary rigor. His ability to structure, evolve and spread a coherent DS culture made the work of every Product Designer and dev team materially easier. Pragmatic, accessible, fast — I recommend him without hesitation.";"Martin possède une vision 360° des règles design system, avec une rigueur exemplaire. Sa capacité à structurer, faire évoluer et diffuser une culture DS cohérente a considérablement facilité le travail des Product Designers et des équipes dev. Pragmatique, accessible, rapide — je le recommande sans hésitation."
recos.sarah.quote;Citation Sarah S.;"Working with Martin was as enjoyable as it was enriching. He brings calm, trust and positive momentum to a team. Beyond the technical chops, he's a teacher — always available to explain or unblock.";"Travailler avec Martin a été aussi agréable qu'enrichissant. Il apporte de la sérénité, de la confiance et une dynamique positive à toute l'équipe. Au-delà des compétences techniques, c'est un pédagogue — toujours disponible pour expliquer ou débloquer."
recos.marc.quote;Citation Marc Q.;"Martin excels at managing design systems — it makes teamwork fluid and efficient. He has a real talent for rallying people and sharing ideas in an inspiring way. Technically he's top-tier, but what stands out is the human approach.";"Martin excelle dans la gestion des design systems, ce qui rend le travail d'équipe fluide et efficace. Il a un vrai talent pour rassembler et partager ses idées de manière inspirante. Techniquement au top, mais ce qui le distingue, c'est l'approche humaine."
À PROPOS;;;
about.now;Situation actuelle;"Eight years as a Product Designer focused on systems. Last mission: Design System Manager at Société Générale via Devoteam. Speaker at ECV Aix-en-Provence on Atomic Design and tokens. Based near Marseille for the past two years, full-remote.";"Huit ans de Product Design, spécialisé en design system. Dernière mission : Design System Manager chez Société Générale via Devoteam. Intervenant à l'ECV Aix-en-Provence sur l'Atomic Design et les tokens. Installé près de Marseille depuis deux ans, full remote."
about.next;Recherche;"Looking for a Lead Design System role, full-remote CDI, in a product team that takes systems seriously. Open to selected freelance work in parallel: system audit, rollout, ops setup.";"À la recherche d'un poste de Lead Design System, CDI full remote, dans une équipe produit qui prend les systèmes au sérieux. Ouvert à du freelance ciblé en parallèle : audit système, déploiement, structuration des ops."
about.p1.k;Principe 1 — label;Systems beat heroics;Méthode > héroïsme
about.p1.v;Principe 1 — texte;A repeatable process beats a brilliant one-off.;Un process répétable vaut mieux qu'un coup de génie isolé.
about.p2.k;Principe 2 — label;Measure or move on;Mesurer ou passer
about.p2.v;Principe 2 — texte;If a system change has no metric, it isn't a change.;Sans métrique, un changement système n'en est pas un.
about.p3.k;Principe 3 — label;Spread through people;Transmettre par les gens
about.p3.v;Principe 3 — texte;Files don't adopt themselves. Designers do.;Les fichiers ne s'adoptent pas seuls. Les designers, oui.
about.p4.k;Principe 4 — label;Boring on purpose;Prévisible par choix
about.p4.v;Principe 4 — texte;Predictable surfaces buy you the budget for ambitious ones.;Des surfaces stables financent les prises de risque créatives.
CONTACT;;;
contact.sub;Sous-titre contact;"Best for: Lead Design System CDI (remote), or scoped freelance missions: system audit, rollout, ops setup.";"Idéal : poste de Lead Design System CDI (remote) ou mission freelance ciblée, audit système, déploiement, structuration des ops."
